Team,Fill,Colour
Arsenal,#EF0107,#063672
Aston Villa,#670E36,#95BFE5
Brentford,#e30613,#fbb800
Brighton,#0057B8,#FFCD00
Burnley,#6C1D45,#99D6EA
Chelsea,#034694,#DBA111
Crystal Palace,#1B458F,#C4122E
Everton,#003399,#003399
Leeds United,#FFFFFF,#FFCD00
Leicester City,#003090,#FDBE11
Liverpool,#C8102E,#C8102E
Manchester City,#6CABDD,#FFC659
Manchester Utd,#DA291C,#FBE122
Newcastle Utd,#FFFFFF,#241F20
Norwich City,#FFF200,#00A650
Southampton,#D71920,#130C0E
Tottenham,#FFFFFF,#132257
Watford,#FBEE23,#ED2127
West Ham,#7A263A,#1BB1E7
Wolves,#FDB913,#231F20